affiliation,authorID,type
AgIZOB11nT,2070772945,company
Ef2w4xXkV2,79869264,company
a8lX8EcDg7,2221510848,university
IAAHNBJQ8S,143646612,university
A8faEjP9uE,122028073,company
IAAHNBJQ8S,2253737059,university
1EZfzIjF5A,102269922,company
koLLBLF4Kh,2053734872,university
MdAikMtKca,2193210098,company
QzlzGOiCMF,102683959,university
bJWe09CpXg,2258510880,university
JSGHuc9MLB,2065957838,university
MdAikMtKca,153286091,company
rLo4zQfpvI,2243095345,company
IAAHNBJQ8S,2213901315,university
RE6zRR2HAD,13469653,university
3C3ZrgbLiX,70125082,company
1EZfzIjF5A,122337467,company
bJWe09CpXg,121108723,university
a8lX8EcDg7,102535674,university
zylF7uMpph,146578134,company
TLgcHMTKEb,52528096,university
AJLY9ogB1E,2065386201,company
QzlzGOiCMF,1477526489,university
VkazC7swZQ,2098360087,university
PxHvBseSaZ,2079940257,company
zylF7uMpph,2076820239,company
A8faEjP9uE,82996539,company
muTx7C3aQQ,2122676324,university
TLgcHMTKEb,147494901,university
KTGRNehQOs,2096375852,company
TLgcHMTKEb,2133823537,university
He7w7yNxKI,2123215720,company
TvmG286olA,2099165650,company
TLgcHMTKEb,2054066387,university
Hji11I565l,123225538,university
rLo4zQfpvI,2182086763,company
muTx7C3aQQ,2137832935,university
Kpdi4o1VIk,1431153698,university
Ef2w4xXkV2,2059685525,company
TLgcHMTKEb,65791722,university
x3nzgFOaqM,1446746160,company
rLo4zQfpvI,122139827,company
VkazC7swZQ,117481085,university
A8faEjP9uE,1446779182,company
zylF7uMpph,117376442,company
TvmG286olA,134200755,company
x3nzgFOaqM,1450168419,company
TLgcHMTKEb,1582700734,university
bJWe09CpXg,122599575,university
qc8esXYwNM,145599871,university
TvmG286olA,135864343,company
A8faEjP9uE,147962352,company
lUAHVNGaRO,133754356,university
lUAHVNGaRO,2196783717,university
A8faEjP9uE,146465373,company
rLo4zQfpvI,146951012,company
JSGHuc9MLB,145378353,university
a8lX8EcDg7,136431393,university
UwHSmaVN9T,101964565,university
PxHvBseSaZ,2190230228,company
1EZfzIjF5A,119352842,company
Hji11I565l,2140061238,university
MmOgD1SMgE,1396985790,university
sf1zujlMLk,148249768,university
TLgcHMTKEb,2090079653,university
OY1ibQYV9f,104956062,company
TvmG286olA,98511618,company
x3nzgFOaqM,2032781703,company
IwvKaPs7nx,98070078,university
MdAikMtKca,119507390,company
IAAHNBJQ8S,117186939,university
muTx7C3aQQ,2123666838,university
f3kNmwwyOf,108284628,university
LhT1sOxVxr,66581544,university
Kpdi4o1VIk,148296919,university
PzeLRcmqMn,2068193013,company
4G7921tYjo,120182696,company
lUAHVNGaRO,2228187023,university
IAAHNBJQ8S,120508973,university
He7w7yNxKI,2218061355,company
rLo4zQfpvI,2096243272,company
RE6zRR2HAD,89696177,university
Ef2w4xXkV2,148389916,company
x3nzgFOaqM,2241862501,company
rLo4zQfpvI,1431306670,company
Hji11I565l,2249371780,university
Kpdi4o1VIk,30610928,university
lUAHVNGaRO,1381107323,university
AJLY9ogB1E,2250717661,company
a8lX8EcDg7,8302491,university
qc8esXYwNM,2116789957,university
VkazC7swZQ,39513550,university
IwvKaPs7nx,16047379,university
PxHvBseSaZ,2018467139,company
4G7921tYjo,2247582814,company
4G7921tYjo,2284451209,company
Kpdi4o1VIk,145244766,university
He7w7yNxKI,97911868,company
3C3ZrgbLiX,2071952962,company
