paperID,keyword
36833670,virtual reality
258790926,genetics
258790926,curriculum development
258790926,biomedical engineering
258790926,electrical engineering
37553840,law
37553840,data querying
37553840,cybersecurity
37553840,information retrieval
37553840,accounting
73431108,augmented reality
4286278,biomedical engineering
4286278,transportation
4286278,deep learning
78794320,transportation
194216967,anthropology
194216967,augmented reality
194216967,mathematics
194216967,entrepreneurship
194216967,logistics
214090037,mechanical engineering
56555627,psychiatry
82089198,microbiology
82089198,neurology
82089198,archaeology
73871837,deep learning
73871837,machine learning
73871837,robotics
73871837,library science
99115501,archaeology
99115501,evolutionary biology
99115501,education
99115501,medical devices
179081275,human-computer interaction
181456576,medical imaging
186375032,information science
199840403,biotechnology
199840403,gender studies
199840403,immunology
204079890,mechanical engineering
220353019,materials science
220353019,marketing
220353019,physiology
220353019,internet of things
220353019,information retrieval
222856387,computer vision
222856387,political science
222856387,internet of things
222856387,robotics
222856387,data modeling
122599050,electrical engineering
219591472,electrical engineering
219591472,blockchain
172709235,biomedical engineering
172709235,literature
172709235,virtual reality
172709235,operations management
153872722,information retrieval
153872722,machine learning
153872722,transportation
153872722,library science
264049796,leadership
184037610,archaeology
184037610,organizational behavior
184037610,gender studies
184037610,molecular modeling
184037610,environmental science
182334866,neurology
182334866,linguistics
182334866,text mining
192484922,sociology
153524263,computational biology
153524263,instructional design
153524263,physics
153524263,literature
153524263,indexing
204781074,leadership
204781074,virology
204781074,cloud computing
204781074,renewable energy
204781074,neurology
250466801,business intelligence
250466801,anthropology
250466801,civil engineering
160639247,psychology
168204084,management
168204084,cultural studies
168204084,cancer research
168204084,neuroscience
218155783,sustainability
218155783,archaeology
201226435,electrical engineering
265930238,literature
265930238,cultural studies
265930238,instructional design
265930238,economics
265930238,text mining
238724897,sociology
238724897,internet of things
157228697,data mining
63344908,computational biology
15616987,social media analytics
15616987,psychology
15616987,evolutionary biology
89122927,political science
89122927,theology
89122927,machine learning
89122927,developmental biology
89122927,law
161530920,biophysics
161530920,mathematics
161530920,data visualization
161530920,organizational behavior
161530920,theology
123594221,human resource management
123594221,augmented reality
123594221,sociology
123594221,physiology
242294658,cultural studies
242294658,gender studies
242294658,cybersecurity
20901854,economics
20901854,paleontology
20901854,information retrieval
20901854,chemical engineering
20901854,mathematics
265288747,computational biology
265288747,data modeling
265288747,social media analytics
54484490,robotics
54484490,accounting
54484490,musicology
268697564,mechanical engineering
17317040,philosophy
17317040,augmented reality
17317040,finance
57733214,cancer research
57733214,robotics
57733214,sociology
57733214,big data
57733214,quantum computing
73187080,transportation
73187080,theology
73187080,biotechnology
73187080,literature
73187080,civil engineering
102416176,civil engineering
102416176,cloud computing
100476127,climate change
100476127,blockchain
138760739,data science
138760739,big data
138760739,developmental biology
138760739,philosophy
138760739,data visualization
148629271,cancer research
148629271,immunology
148629271,organizational behavior
148629271,virtual reality
148629271,health informatics
132612270,archaeology
132612270,biochemistry
132612270,psychiatry
132612270,logistics
177802287,pharmacology
198893053,marketing
198893053,chemistry
198893053,data querying
198893053,instructional design
120596926,curriculum development
120596926,cell biology
120596926,marketing
213330802,climate change
10833500,psychiatry
20089662,deep learning
20089662,robotics
63068375,musicology
63068375,physiology
72915209,data science
72915209,developmental biology
72915209,film studies
85755715,gender studies
85755715,big data
85755715,artificial intelligence
52858045,chemistry
175548404,film studies
175548404,cancer research
175548404,virology
175548404,chemistry
76745315,instructional design
221673644,social media analytics
221673644,psychology
221673644,data visualization
113565652,finance
113565652,microbiology
113565652,management
53723223,paleontology
53723223,microbiology
53723223,blockchain
210736321,statistics
210736321,film studies
210736321,fine arts
210736321,machine learning
61880248,gender studies
128725225,data querying
128725225,natural language processing
128725225,law
128725225,physiology
128725225,cultural studies
155980968,text mining
225790380,language learning
225790380,computer vision
225790380,deep learning
225790380,immunology
225790380,literature
204698397,virtual reality
177250985,data science
177250985,psychology
177250985,ecology
88634815,data visualization
88634815,microbiology
62882485,data processing
62882485,organizational behavior
62882485,computational biology
14640476,microbiology
14640476,paleontology
14640476,data science
14640476,computational biology
681669,biotechnology
681669,data management
681669,evolutionary biology
681669,instructional design
192220252,artificial intelligence
192220252,statistics
192220252,psychology
268805100,data storage
268805100,developmental biology
44610313,robotics
97892608,language learning
97892608,quantum computing
97892608,curriculum development
97892608,text mining
97892608,human-computer interaction
132074289,drug discovery
132074289,information science
217492134,geology
217492134,management
217492134,biomedical engineering
217492134,natural language processing
217492134,neurology
261801042,renewable energy
16647308,education
16647308,sustainability
16647308,history
16647308,virtual reality
134955930,nanotechnology
109335850,chemistry
122091363,chemistry
122091363,machine learning
124672760,climate change
124672760,renewable energy
124672760,blockchain
152198704,blockchain
152198704,cell biology
152198704,microbiology
152198704,sustainability
112532675,physics
112532675,entrepreneurship
112532675,gender studies
112532675,genetics
112532675,history
266694665,sustainability
266694665,psychiatry
266694665,civil engineering
266694665,artificial intelligence
27499569,cell biology
267950777,machine learning
96053489,drug discovery
96053489,paleontology
220192299,geology
